Product_Code,Normalized_Code,Source_URL,OEM_No,Vehicle,HS_Code,Weight_kg,Image_URL,Lifecycle_Status,Lifecycle_Note,Replacement_Out,Replacement_In,Changed
4540292930,4540292930,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/4540292930_mann-filter.html,,,,,,active,,,,no
1005619S02,1005619S02,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/1005619s02_mann-filter.html,,,,,,active,,,,no
1180461S01,1180461S01,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/1180461s01_mann-filter.html,"000 094 69 04, A 000 094 69 04",Mercedes-Benz,842131,0.45,https://www.mann-hummel.com/content/dam/mann-filter/pim-assets/product-shape-image/039.jpg,active,Available while stock lasts,,,yes
4900050612,4900050612,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/4900050612_mann-filter.html,,,,,https://www.mann-hummel.com/content/dam/mann-filter/pim-assets/product-shape-image/742.jpg,active,,,,yes
4593192910,4593192910,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/4593192910_mann-filter.html,,,,,,active,,,,no
49 000 55 251,4900055251,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/4900055251_mann-filter.html,,BECKER-KOMPRESSOREN,842123,0.721,https://www.mann-hummel.com/content/dam/mann-filter/pim-assets/product-shape-image/742.jpg,discontinued,Replacement code: LE 3002. Not in production since 2016-02 according to MANN-FILTER source.,LE 3002,,yes
49 000 54 151,4900054151,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/4900054151_mann-filter.html,,BECKER-KOMPRESSOREN,842123,0.35,https://www.mann-hummel.com/content/dam/mann-filter/pim-assets/product-shape-image/742.jpg,discontinued,Replacement code: LE 3008. Not in production since 2016-02 according to MANN-FILTER source.,LE 3008,,yes
49 000 55 451,4900055451,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/4900055451_mann-filter.html,,HYDROVANE 120 - 845,842123,1.417,https://www.mann-hummel.com/content/dam/mann-filter/pim-assets/product-shape-image/742.jpg,discontinued,Replacement code: LE 1010. Not in production since 2017-10 according to MANN-FILTER source.,LE 1010,,yes
49 302 52 311,4930252311,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/4930252311_mann-filter.html,,,842123,1.417,https://www.mann-hummel.com/content/dam/mann-filter/pim-assets/product-shape-image/742.jpg,discontinued,Replacement code: LE 16 003. Not in production since 2016-04 according to MANN-FILTER source.,LE 16 003,,yes
6661031140,6661031140,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/6661031140_mann-filter.html,,,,,,active,,,,no
6890307001,6890307001,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/6890307001_mann-filter.html,,,,,,active,,,,no
49 302 53 131,4930253131,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/4930253131_mann-filter.html,68563045,"ATMOS PD -, BOTTARINI KDV -",842123,0.45,https://www.mann-hummel.com/content/dam/mann-filter/pim-assets/product-shape-image/742.jpg,discontinued,Replacement code: LE 17 011 X. Not in production since 2016-02 according to MANN-FILTER source.,LE 17 011 X,,yes
BF10181,BF10181,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/bf1018/1_mann-filter.html,"1215 3199, 2 C 2 H 4115, R 2 H 4115, 000 477 34 15, A 000 477 34 15, 6.0541.14.2.0001, 6.0541.14.2.0017, 6.0541.14.2.0024, 6.0541.29.2.0017, 6.0541.29.4.0001",MAN,84219990,0.406,https://www.mann-hummel.com/content/dam/mann-filter/pim-assets/product-shape-image/335.jpg,active,,,,yes
BFU707,BFU707,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/bfu707_mann-filter.html,"V836007790, 714 401, 714 401 R 92, 716 806 R 91, 00 0099 104 1, 0099 104 0, 0099 104 1, CT 08 54 806 000, 659 574 00, 116 0033, 116 8403, R 0,5 H 4115, F 015 200 060 160, 1909113, 5004 784, 7965460, 7984298, 153 187 003, 860 153 187 003, 190 9113, 271 46000, L19926, RE508953, 383 27, 400 02 432, 2.4319.530.3, 235301, 81.12503-0013, 81.12503-0019, 81.12503-0023, 81.12503-0028, 81.12503-0037, 81.12503-0043, 81.12503-0050, 2868366M1, 30 201, 000 092 15 05, 000 092 19 05, 000 470 01 92, 000 477 38 15, 000 477 42 15, 000 477 54 15, 000 477 57 15, 000 477 68 15, 344 470 00 92, 344 477 72 15, A 000 092 15 05, A 000 092 19 05, A 000 470 01 92, A 000 477 38 15, A 000 477 42 15, A 000 477 54 15, A 000 477 57 15, A 000 477 68 15, A 344 470 00 92, A 344 477 72 15, 6.0540.19.1.0003, 6.0541.14.2.0003, 6.0541.14.2.0004, 000.065.061.5, 08 54 806 000, 40 33 158 110, 8 112 503 001 9, 85 48 060 000, 003.1412.0, 2.43192.530.3, 309 439, 8.319.000.103, 185.55.03, 380.95.5163, 407.08.0131, 8360 07790","Eicher, Evobus, Mercedes-Benz, Setra, Ford, Jelcz, Still",84212300,0.067,https://www.mann-hummel.com/content/dam/mann-filter/pim-assets/product-shape-image/335.jpg,active,,,,yes
BFU700X,BFU700X,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/bfu700x_mann-filter.html,"96007992, 0133 537 0, 131 135 74, 352 470 0092, 550 7701-08, 700 2304, 000 090 11 51, 000 092 27 05, 000 092 54 05, 001 092 61 01, 001 092 61 01 64, 352 470 00 92, 990 090 00 00, A 000 090 11 51, A 000 092 27 05, A 000 092 54 05, A 001 092 61 01, A 001 092 61 01 64, A 352 470 00 92, A 990 090 00 00, 7025282, 93009904, 00 213 15108","Kaessbohrer, Mercedes-Benz",84212300,0.112,https://www.mann-hummel.com/content/dam/mann-filter/pim-assets/product-shape-image/335.jpg,active,,,,yes
BFU715,BFU715,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/bfu715_mann-filter.html,"659 573 00, 116 8402, 1215 3114, 5574 980, F 112 200 060 130, F 112 200 060 131, 5574980, 0.4001.062.0, 6.0540.19.1.0002, 6.0541.02.9.0002, 003.1407.0","Agria, Fendt",84212300,0.07,https://www.mann-hummel.com/content/dam/mann-filter/pim-assets/product-shape-image/335.jpg,active,,,,yes
BFU811,BFU811,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/bfu811_mann-filter.html,"598.452.070-0, 801.160.154, 801 150 215, 801 160 154, 3 029 244, 3 029 244 R 91, 3 032 014 R 91, 3 056 984, 3 056 984 R 1, 3 059 244 R 1, 3 132 014, 3 132 014 R 91, 0133 035 0, 649 911 00, 760 387 00, 116 0034, 116 8407, 116 8408, 116 8409, 128 9048, 995 1042, C 1 H 4115 K, R 1 H 4115, R 1 H 4115 K, W 1 H 4115, 0746-293, 0796-293, 4702-26, 4790-226, 1168407, 5004 785, 6435477, 7984347, 9975264, 38215, 000 477 3115, 114 241 160, 512 593 000, 589 452 0700, 589 452 0800, 598 452 0700, 065 38 215, 382 15, 407 00 306, 81.12503.0011, 7.9999.210.99, 550 2259, 700 1222, 81.00000-0245, 81.12503-0011, 81.12503-0024, 81.12503-0044, 81.12503-0046, 81.12503-0053, 81.12503-0062, 81.12503-0066, 2914107M1, 000 477 31 15, 000 477 32 15, 355 470 00 92, A 000 477 31 15, A 000 477 32 15, A 355 470 00 92, 112 250 42 00-1, 6.0540.19.1.0001, 6.0541.15.1.0003, 1505-78, 505-78, 00 24 152 004, 00 24 866 064, 08 70 323 100, 59 84 520 700, 556 017 123, 001.0780.0, 001.0780.7, S-AK 300, S-AK 303, 5.894.520.700","Bussing, Faun, Scania, Still",84212300,0.173,https://www.mann-hummel.com/content/dam/mann-filter/pim-assets/product-shape-image/335.jpg,active,,,,yes
BFU900X,BFU900X,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/bfu900x_mann-filter.html,"38136, 00 0133 602 1, 0133 602 0, 0133 602 1, 688 739 00, 118 1060, 422 090 0051, 400 02 049, 550 7700, 550 7702, 550 7702-08, 740 2855, 000 090 14 51, 000 090 14 51 67, 422 090 00 51, 422 092 00 05, 422 092 01 05, 422 092 02 05, A 000 090 14 51, A 422 090 00 51, A 422 092 00 05, A 422 092 01 05, A 422 092 02 05, 41 25 030 024, 50 00 031 068","Claas, Volvo, Evobus, Mercedes-Benz, Setra",84212300,0.175,https://www.mann-hummel.com/content/dam/mann-filter/pim-assets/product-shape-image/335.jpg,active,,,,yes
BL1,BL1,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/bl1_mann-filter.html,,,84219990,0.315,https://www.mann-hummel.com/content/dam/mann-filter/pim-assets/product-shape-image/456.jpg,active,,,,yes
C10005,C10005,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/c10005_mann-filter.html,,BECKER-KOMPRESSOREN,84213100,0.32,https://www.mann-hummel.com/content/dam/mann-filter/pim-assets/product-shape-image/039.jpg,active,,,,yes
C10006,C10006,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/c10006_mann-filter.html,"1559418, 32/925894","JCB (j, C, Bamford) 8000, THWAITES",84213100,0.25,https://www.mann-hummel.com/content/dam/mann-filter/pim-assets/product-shape-image/039.jpg,active,,,,yes
C10007,C10007,https://www.mann-filter.com/uk-en/catalogue/search-results/product.html/c10007_mann-filter.html,"1725-104-313-00, 1G319-11210, 1G319-11212","ISEKI, KUBOTA",84213100,0.245,https://www.mann-hummel.com/content/dam/mann-filter/pim-assets/product-shape-image/039.jpg,active,,,,yes
